b,e,d,a,alignment,families
9,16,1,17,0.931891116,dr_d_1;parity_10;composite_edge
9,17,2,19,0.938952956,dr_d_2;parity_11;prime_edge
9,18,3,21,0.943119125,dr_d_3;parity_10;composite_edge
9,19,4,23,0.945313187,dr_d_4;parity_11;prime_edge
9,20,5,1,0.910707725,dr_d_5;parity_10;composite_edge
9,21,6,3,0.890870806,dr_d_6;parity_11;composite_edge
9,22,7,5,0.867154070,dr_d_7;parity_10;composite_edge
9,23,8,7,0.841522693,dr_d_8;parity_11;prime_edge
9,24,9,9,0.815374248,dr_d_9;parity_10;composite_edge
10,1,11,12,0.850104462,dr_d_2;parity_01;composite_edge
10,2,12,14,0.872502872,dr_d_3;parity_00;prime_edge
10,3,13,16,0.887385589,dr_d_4;parity_01;prime_edge
10,4,14,18,0.897235447,dr_d_5;parity_00;composite_edge
10,5,15,20,0.903696114,dr_d_6;parity_01;prime_edge
10,6,16,22,0.907855117,dr_d_7;parity_00;composite_edge
10,7,17,24,0.910436963,fib_seed;dr_d_8;parity_01;prime_edge
10,8,18,2,0.892607398,dr_d_9;parity_00;composite_edge
10,9,19,4,0.868092293,dr_d_1;parity_01;composite_edge
10,10,20,6,0.841158231,dr_d_2;parity_00;composite_edge
10,11,21,8,0.839782210,dr_d_3;parity_01;prime_edge
10,12,22,10,0.835504418,dr_d_4;parity_00;composite_edge
10,13,23,12,0.829396220,dr_d_5;parity_01;prime_edge
10,14,24,14,0.822210413,dr_d_6;parity_00;composite_edge
10,15,1,16,0.908626092,dr_d_1;parity_01;composite_edge
10,16,2,18,0.919254720,dr_d_2;parity_00;composite_edge
10,17,3,20,0.926158422,dr_d_3;parity_01;prime_edge
10,18,4,22,0.930484210,dr_d_4;parity_00;composite_edge
10,19,5,24,0.933020529,dr_d_5;parity_01;prime_edge
10,20,6,2,0.912870929,dr_d_6;parity_00;composite_edge
10,21,7,4,0.890451734,dr_d_7;parity_01;composite_edge
10,22,8,6,0.865180913,dr_d_8;parity_00;composite_edge
10,23,9,8,0.838742137,dr_d_9;parity_01;prime_edge
10,24,10,10,0.812291420,dr_d_1;parity_00;composite_edge
11,1,12,13,0.847579380,dr_d_3;parity_11;prime_edge
11,2,13,15,0.869079197,dr_d_4;parity_10;prime_edge
11,3,14,17,0.883912220,dr_d_5;parity_11;prime_edge
11,4,15,19,0.894117861,dr_d_6;parity_10;prime_edge
11,5,16,21,0.901099895,dr_d_7;parity_11;prime_edge
11,6,17,23,0.905821627,dr_d_8;parity_10;prime_edge
11,7,18,1,0.921680503,dr_d_9;parity_11;prime_edge
11,8,19,3,0.900450338,dr_d_1;parity_10;prime_edge
11,9,20,5,0.875412867,dr_d_2;parity_11;prime_edge
11,10,21,7,0.848594436,dr_d_3;parity_10;prime_edge
11,11,22,9,0.821414140,dr_d_4;parity_11;prime_edge
11,12,23,11,0.818168019,dr_d_5;parity_10;prime_edge
11,13,24,13,0.813235917,dr_d_6;parity_11;prime_edge
11,14,1,15,0.880000837,dr_d_1;parity_10;prime_edge
11,15,2,17,0.895126782,dr_d_2;parity_11;prime_edge
11,16,3,19,0.905508947,dr_d_3;parity_10;prime_edge
11,17,4,21,0.912555002,dr_d_4;parity_11;prime_edge
11,18,5,23,0.917246609,lucas_seed;dr_d_5;parity_10;prime_edge
11,19,6,1,0.931156283,dr_d_6;parity_11;prime_edge
11,20,7,3,0.910977004,dr_d_7;parity_10;prime_edge
11,21,8,5,0.886838393,dr_d_8;parity_11;prime_edge
11,22,9,7,0.860706876,dr_d_9;parity_10;prime_edge
11,23,10,9,0.833994924,dr_d_1;parity_11;prime_edge
11,24,11,11,0.807644519,dr_d_2;parity_10;prime_edge
12,1,13,14,0.845402793,dr_d_4;parity_01;composite_edge
12,2,14,16,0.866025404,dr_d_5;parity_00;prime_edge
12,3,15,18,0.880704846,dr_d_6;parity_01;prime_edge
12,4,16,20,0.891132789,dr_d_7;parity_00;composite_edge
12,5,17,22,0.898512571,dr_d_8;parity_01;prime_edge
12,6,18,24,0.903696114,dr_d_9;parity_00;composite_edge
12,7,19,2,0.927960727,dr_d_1;parity_01;prime_edge
12,8,20,4,0.905821627,dr_d_2;parity_00;composite_edge
12,9,21,6,0.880704846,dr_d_3;parity_01;composite_edge
12,10,22,8,0.854282143,dr_d_4;parity_00;composite_edge
12,11,23,10,0.827721597,dr_d_5;parity_01;prime_edge
12,12,24,12,0.801783726,dr_d_6;parity_00;composite_edge
12,13,1,14,0.845402793,dr_d_1;parity_01;prime_edge
12,14,2,16,0.866025404,dr_d_2;parity_00;composite_edge
12,15,3,18,0.880704846,dr_d_3;parity_01;composite_edge
12,16,4,20,0.891132789,dr_d_4;parity_00;composite_edge
12,17,5,22,0.898512571,dr_d_5;parity_01;prime_edge
12,18,6,24,0.903696114,dr_d_6;parity_00;composite_edge
12,19,7,2,0.927960727,dr_d_7;parity_01;prime_edge
12,20,8,4,0.905821627,dr_d_8;parity_00;composite_edge
12,21,9,6,0.880704846,dr_d_9;parity_01;composite_edge
12,22,10,8,0.854282143,dr_d_1;parity_00;composite_edge
12,23,11,10,0.827721597,dr_d_2;parity_01;prime_edge
12,24,12,12,0.801783726,dr_d_3;parity_00;composite_edge
13,1,14,15,0.843508104,dr_d_5;parity_11;prime_edge
13,2,15,17,0.863289805,dr_d_6;parity_10;prime_edge
13,3,16,19,0.877747260,dr_d_7;parity_11;prime_edge
13,4,17,21,0.888296706,dr_d_8;parity_10;prime_edge
13,5,18,23,0.895974229,dr_d_9;parity_11;prime_edge
13,6,19,1,0.950262193,dr_d_1;parity_10;prime_edge
13,7,20,3,0.931891116,dr_d_2;parity_11;prime_edge
13,8,21,5,0.909337982,dr_d_3;parity_10;prime_edge
13,9,22,7,0.884447718,dr_d_4;parity_11;prime_edge
13,10,23,9,0.858604312,dr_d_5;parity_10;prime_edge
13,11,24,11,0.832775903,dr_d_6;parity_11;prime_edge
13,12,1,13,0.836536288,dr_d_1;parity_10;prime_edge
13,13,2,15,0.831479419,dr_d_2;parity_11;prime_edge
13,14,3,17,0.851314306,dr_d_3;parity_10;prime_edge
13,15,4,19,0.865838175,dr_d_4;parity_11;prime_edge
13,16,5,21,0.876491834,dr_d_5;parity_10;prime_edge
13,17,6,23,0.884315377,dr_d_6;parity_11;prime_edge
13,18,7,1,0.940690550,dr_d_7;parity_10;prime_edge
13,19,8,3,0.921459654,dr_d_8;parity_11;prime_edge
13,20,9,5,0.898146239,dr_d_9;parity_10;prime_edge
13,21,10,7,0.872655904,fib_seed;dr_d_1;parity_11;prime_edge
13,22,11,9,0.846388958,dr_d_2;parity_10;prime_edge
13,23,12,11,0.820303112,dr_d_3;parity_11;prime_edge
13,24,13,13,0.795009829,dr_d_4;parity_10;prime_edge
14,1,15,16,0.841844442,dr_d_6;parity_01;composite_edge
14,2,16,18,0.860828462,dr_d_7;parity_00;prime_edge
14,3,17,20,0.875019974,dr_d_8;parity_01;prime_edge
